step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
82,344016,656,0.00841891735777381,0.75,0.9795918367346939,,,
83,345944,664,0.014944763860365026,0.375,0.9285714285714286,,,
84,350624,672,0.007467074009822115,0.5,0.9411764705882353,,,
85,353128,680,0.01243412186806489,0.375,0.9242424242424242,,,
86,355824,688,0.01572908671008059,0.375,0.9186046511627907,,,
87,360312,696,0.008525901976187666,0.5,0.918918918918919,,,
88,363840,704,0.012153102020395216,0.5,0.9456521739130435,,,
89,368136,712,0.01018827157404759,0.5,0.9479166666666666,0.00928511274919446,0.375,0.9166666666666666
90,371728,720,0.010338560106841215,0.625,0.9411764705882353,,,
91,378200,728,0.0070460909450178345,0.625,0.9555555555555556,,,
92,381088,736,0.01173691861480004,0.25,0.9,,,
93,384360,744,0.009806669894382475,0.75,0.9701492537313433,,,
94,387824,752,0.011344228332546695,0.375,0.9285714285714286,,,
95,391288,760,0.010112620252859273,0.25,0.8833333333333333,,,
96,398528,768,0.00681304622964745,0.125,0.8831168831168831,,,
97,402056,776,0.011635890866310701,0.25,0.8831168831168831,0.009179441361878532,0.625,0.9452054794520548
98,405648,784,0.00976831376773569,0.25,0.8888888888888888,,,
99,416152,792,0.004568270861343907,0.25,0.8709677419354839,,,
100,419040,800,0.010798593599139447,0.625,0.9523809523809523,,,
101,422440,808,0.01038653690213973,0.5,0.9506172839506173,,,
102,425776,816,0.010277545982074456,0.375,0.9240506329113924,,,
103,432056,824,0.0069734124606957125,0.375,0.9090909090909091,,,
104,438464,832,0.0057214531656541,0.5,0.9506172839506173,,,
105,443208,840,0.007965447205351604,0.5,0.9285714285714286,0.006957348658694382,0.25,0.9270833333333334
106,448912,848,0.007233778336539153,0.5,0.9382716049382716,,,
107,452312,856,0.012298761203723127,0.25,0.9178082191780822,,,
108,455904,864,0.008457917390077724,0.625,0.9552238805970149,,,
109,458600,872,0.011399329895749922,0.5,0.9420289855072463,,,
110,463152,880,0.009378631623227088,0.5,0.9529411764705882,,,
