step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,4296,8,0.06422527646412478,0.0,0.3493975903614458,0.041507096412637196,0.0,0.4642857142857143
2,10320,16,0.030999158166206364,0.0,0.423728813559322,,,
3,15960,24,0.02960059244994073,0.0,0.49206349206349204,,,
4,20960,32,0.02847378319849018,0.0,0.5166666666666667,,,
5,24872,40,0.03341229964829076,0.0,0.6428571428571429,,,
6,29552,48,0.043041577807452054,0.0,0.44047619047619047,,,
7,32888,56,0.07729400908303133,0.0,0.40186915887850466,,,
8,37760,64,0.03144356261432159,0.0,0.5142857142857142,,,
9,42888,72,0.023821937210725588,0.125,0.7162162162162162,0.025193014861036173,0.0,0.6875
10,47312,80,0.03229581566106758,0.0,0.6463414634146342,,,
11,52312,88,0.02768464556730425,0.0,0.6288659793814433,,,
12,55264,96,0.03233815440868749,0.0,0.676056338028169,,,
13,60264,104,0.01681383723294961,0.0,0.7049180327868853,,,
14,63472,112,0.024288116809148406,0.5,0.8378378378378378,,,
15,68792,120,0.017055385358056823,0.0,0.7317073170731707,,,
16,72128,128,0.021786772917327096,0.25,0.8412698412698413,,,
17,76488,136,0.018037871102072594,0.375,0.859375,0.012340077257858838,0.375,0.8813559322033898
18,82192,144,0.012837366827609676,0.125,0.847457627118644,,,
19,88856,152,0.01350167749337895,0.25,0.8490566037735849,,,
20,92576,160,0.016348022398246995,0.125,0.8823529411764706,,,
21,97256,168,0.01333597423956344,0.5,0.9375,,,
22,100528,176,0.017744226535909867,0.125,0.863013698630137,,,
23,104888,184,0.011337160395204321,0.5,0.9253731343283582,,,
24,109184,192,0.01230770866639842,0.125,0.8571428571428571,,,
25,113288,200,0.013588521175954976,0.0,0.8928571428571429,0.011212046832460538,0.0,0.8775510204081632
26,116880,208,0.01425262475913025,0.25,0.9213483146067416,,,
27,121304,216,0.010869778523978281,0.25,0.9166666666666666,,,
28,130592,224,0.008566959150174006,0.0,0.8513513513513513,,,
29,137832,232,0.008462032003764133,0.375,0.8363636363636363,,,
30,141744,240,0.016440812259344708,0.125,0.8552631578947368,,,
31,145208,248,0.01440041696160783,0.125,0.881578947368421,,,
32,149632,256,0.012220585896492851,0.375,0.9375,,,
33,155656,264,0.0105476634069465,0.125,0.8902439024390244,0.01204173789187195,0.0,0.8571428571428571
34,159824,272,0.013248034971734006,0.5,0.9484536082474226,,,
35,164888,280,0.012203636786040799,0.0,0.7894736842105263,,,
36,167776,288,0.01390742580958744,0.25,0.8813559322033898,,,
37,171432,296,0.01298969278970517,0.375,0.9117647058823529,,,
38,176880,304,0.008217718592329623,0.375,0.9523809523809523,,,
39,186744,312,0.007340639812339271,0.375,0.92,,,
40,191296,320,0.011391685818573364,0.375,0.9016393442622951,,,
41,195656,328,0.011136556469394184,0.625,0.9342105263157895,0.013377793878388557,0.125,0.8918918918918919
42,200016,336,0.010614930515644034,0.125,0.9038461538461539,,,
43,205720,344,0.009835023774108295,0.25,0.891566265060241,,,
44,210144,352,0.010409456747626384,0.625,0.9375,,,
45,216296,360,0.008529685631242309,0.125,0.8947368421052632,,,
46,219888,368,0.012466473686937271,0.5,0.9259259259259259,,,
47,224440,376,0.009052180679264474,0.5,0.9438202247191011,,,
48,227840,384,0.013376475465946587,0.375,0.9240506329113924,,,
49,235400,392,0.006889217963883058,0.375,0.8955223880597015,0.009651300874211722,0.375,0.9324324324324325
50,238736,400,0.013984295720516364,0.5,0.8955223880597015,,,
51,241752,408,0.01307164973730801,0.5,0.9264705882352942,,,
52,245408,416,0.012019189572500626,0.375,0.9325842696629213,,,
53,249576,424,0.013595364833272157,0.0,0.8333333333333334,,,
54,252976,432,0.011939576428504194,0.25,0.92,,,
55,258808,440,0.009643960737038316,0.625,0.9583333333333334,,,
56,265216,448,0.007487159481411026,0.125,0.8941176470588236,,,
57,270920,456,0.009688592334729707,0.125,0.9042553191489362,0.011115407759887003,0.25,0.925
58,275664,464,0.010292403679747538,0.25,0.8888888888888888,,,
59,284696,472,0.006237887598037066,0.125,0.8805970149253731,,,
60,289952,480,0.008568776501835,0.375,0.9342105263157895,,,
61,294952,488,0.009182650136524289,0.375,0.9,,,
62,299312,496,0.01044773883264383,0.25,0.8873239436619719,,,
63,303800,504,0.00921899496668384,0.5,0.9529411764705882,,,
64,309888,512,0.007027295190644866,0.5,0.9384615384615385,,,
65,312456,520,0.015003465969596197,0.25,0.8709677419354839,0.01062413778450842,0.25,0.9016393442622951
66,317328,528,0.009952755678400288,0.125,0.9195402298850575,,,
67,321560,536,0.008702371552453859,0.5,0.9285714285714286,,,
68,332896,544,0.005423808759763697,0.375,0.9024390243902439,,,
69,339496,552,0.007578203055054735,0.5,0.9180327868852459,,,
70,343728,560,0.010674173894524672,0.25,0.9204545454545454,,,
71,347960,568,0.008670519671407083,0.375,0.8857142857142857,,,
72,350976,576,0.010636523575730427,0.5,0.9534883720930233,,,
73,355272,584,0.009908788622319357,0.5,0.9054054054054054,0.004832585113901398,0.5,0.9166666666666666
74,359184,592,0.009446571430288018,0.25,0.9146341463414634,,,
75,363224,600,0.010604150428018311,0.5,0.9122807017543859,,,
76,366688,608,0.011188587069968623,0.5,0.8518518518518519,,,
77,370024,616,0.014402349947245183,0.0,0.8641975308641975,,,
78,375664,624,0.007556892729685198,0.375,0.90625,,,
79,381752,632,0.007031763078253085,0.5,0.957983193277311,,,
80,396864,640,0.004506302423043381,0.375,0.9157894736842105,,,
81,400264,648,0.013026052947042708,0.25,0.8305084745762712,0.011200745425151957,0.5,0.9390243902439024
82,406416,656,0.007885589448046763,0.5,0.9518072289156626,,,
83,410584,664,0.010278840014442273,0.5,0.9428571428571428,,,
84,416544,672,0.008260124987009503,0.375,0.918918918918919,,,
85,420520,680,0.010173659267648199,0.625,0.926829268292683,,,
86,426032,688,0.007898977443433266,0.375,0.8983050847457628,,,
87,428536,696,0.01002219023539241,0.75,0.975,,,
88,432960,704,0.008767374010862907,0.625,0.9452054794520548,,,
89,436936,712,0.008284527369683662,0.5,0.9375,0.006399850207345621,0.25,0.9102564102564102
90,444304,720,0.005920997931087963,0.5,0.9180327868852459,,,
91,453976,728,0.005063498313582521,0.25,0.9113924050632911,,,
92,457248,736,0.01117174579558918,0.5,0.9420289855072463,,,
93,461416,744,0.011312916461124735,0.0,0.8472222222222222,,,
94,466736,752,0.00766207192957154,0.5,0.9295774647887324,,,
95,475064,760,0.006711012434461881,0.25,0.8970588235294118,,,
96,479360,768,0.008497285788494317,0.75,0.9692307692307692,,,
97,482504,776,0.009794079298417434,0.25,0.8833333333333333,0.010266579980981873,0.625,0.9571428571428572
98,485712,784,0.0109285608714001,0.125,0.8933333333333333,,,
99,490072,792,0.008488679267623303,0.75,0.963855421686747,,,
100,498272,800,0.006385115346365591,0.25,0.9058823529411765,,,
101,503528,808,0.008250709110443365,0.375,0.9014084507042254,,,
102,507760,816,0.01003442425046953,0.25,0.9175257731958762,,,
103,514040,824,0.005893782945864526,0.5,0.9466666666666667,,,
104,517184,832,0.010772046269395156,0.375,0.9382716049382716,,,
105,521096,840,0.008902375521110254,0.5,0.918918918918919,0.007238810139037388,0.375,0.8688524590163934
106,526224,848,0.008890307903878803,0.25,0.8392857142857143,,,
107,531800,856,0.007722377967566411,0.125,0.8275862068965517,,,
108,535840,864,0.009262225056081243,0.625,0.9298245614035088,,,
109,542504,872,0.006819824798306954,0.375,0.9295774647887324,,,
110,546928,880,0.00841524101841267,0.5,0.9468085106382979,,,
111,552120,888,0.008267490887095419,0.5,0.9305555555555556,,,
112,559296,896,0.005729193039273134,0.75,0.9736842105263158,,,
