step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
207,65127,207,0.018975854644443787,0.0,0.8571428571428571,,,
208,65256,208,0.022354098375328278,0.0,0.9230769230769231,,,
209,65529,209,0.021325797388987055,0.0,0.8888888888888888,0.017488414525050813,0.0,0.8571428571428571
210,65842,210,0.016354363019350133,1.0,1.0,,,
211,66139,211,0.018417497585053576,0.0,0.8571428571428571,,,
212,66468,212,0.018958392575180304,0.0,0.8888888888888888,,,
213,66549,213,0.027932372869582195,1.0,1.0,,,
214,66790,214,0.014210239181369618,1.0,1.0,,,
215,67047,215,0.020735122420265383,0.0,0.8888888888888888,,,
216,67264,216,0.02489544513572443,0.0,0.8888888888888888,,,
217,67721,217,0.01984642817461469,0.0,0.8571428571428571,0.013752198790691728,1.0,1.0
218,68002,218,0.018062974361339326,0.0,0.8571428571428571,,,
219,68299,219,0.018213390532566362,0.0,0.8571428571428571,,,
220,68740,220,0.016818046490539595,0.0,0.8571428571428571,,,
221,69061,221,0.021549165599556094,0.0,0.8571428571428571,,,
222,69190,222,0.05338280401493079,0.0,0.9230769230769231,,,
223,69447,223,0.015890291833612197,0.0,0.8571428571428571,,,
224,69856,224,0.02247447395291987,0.0,0.9285714285714286,,,
225,70073,225,0.013685425701761249,1.0,1.0,0.017894798285262983,1.0,1.0
226,70658,226,0.014082514271649195,1.0,1.0,,,
227,71059,227,0.017024046186057105,1.0,1.0,,,
228,71220,228,0.01758539322638899,0.0,0.8888888888888888,,,
229,71517,229,0.015501827179516325,1.0,1.0,,,
230,71710,230,0.01723032742916009,1.0,1.0,,,
231,71871,231,0.02273612901812905,1.0,1.0,,,
232,72248,232,0.020996497540981898,0.0,0.9230769230769231,,,
233,72705,233,0.018118070371456126,0.0,0.9285714285714286,0.020847393804990722,0.0,0.8571428571428571
234,72954,234,0.016873096840662502,0.0,0.8571428571428571,,,
235,73115,235,0.03579232250910604,0.0,0.8571428571428571,,,
236,73428,236,0.012574469922861063,1.0,1.0,,,
237,73869,237,0.015676488139881695,0.0,0.9285714285714286,,,
238,74286,238,0.014830260462666993,1.0,1.0,,,
239,74655,239,0.017123191035571816,0.0,0.9230769230769231,,,
240,75032,240,0.01838760809664307,0.0,0.8571428571428571,,,
241,75465,241,0.02016847779292393,0.0,0.9285714285714286,0.01570053007869313,0.0,0.9285714285714286
242,75682,242,0.025975973824654202,0.0,0.8888888888888888,,,
243,76043,243,0.0203696644886983,0.0,0.8888888888888888,,,
244,76268,244,0.022050574767919825,0.0,0.8888888888888888,,,
245,76637,245,0.016367657059978405,0.0,0.8571428571428571,,,
246,76734,246,0.025363221955667918,0.0,0.8571428571428571,,,
247,77039,247,0.02663097404455429,0.0,0.9473684210526315,,,
248,77352,248,0.014482032256586539,0.0,0.8571428571428571,,,
249,77681,249,0.023242666296502276,0.0,0.9230769230769231,0.014426154592672977,1.0,1.0
250,77834,250,0.015606856153958208,0.0,0.8571428571428571,,,
251,78107,251,0.02248465802827816,0.0,0.8888888888888888,,,
252,78396,252,0.014428604458789147,1.0,1.0,,,
253,78653,253,0.033983106934290144,0.0,0.7777777777777778,,,
254,78766,254,0.018682899871355404,0.0,0.8888888888888888,,,
255,79399,255,0.015589894984538178,0.0,0.9285714285714286,,,
256,79608,256,0.02289244007518308,0.0,0.9473684210526315,,,
257,79745,257,0.028654958129998114,0.0,0.7777777777777778,0.029461249543631614,0.0,0.9230769230769231
258,80034,258,0.013519191646643095,1.0,1.0,,,
259,80459,259,0.018126382858729057,1.0,1.0,,,
260,80924,260,0.017001780182880226,0.0,0.9285714285714286,,,
261,81077,261,0.014811089446491343,1.0,1.0,,,
262,81350,262,0.018030596572970594,0.0,0.9285714285714286,,,
263,81887,263,0.0202880944691736,0.0,0.9230769230769231,,,
264,82240,264,0.026540745751583595,0.0,0.8888888888888888,,,
265,82585,265,0.01345252945868588,1.0,1.0,0.019250124027039378,0.0,0.9285714285714286
266,82850,266,0.02767256406483506,0.0,0.8888888888888888,,,
267,83115,267,0.021453714301293312,0.0,0.9473684210526315,,,
268,83332,268,0.027071016056827962,0.0,0.8571428571428571,,,
269,83445,269,0.04202611570426663,0.0,0.9230769230769231,,,
270,83694,270,0.02652669037643825,0.0,0.9230769230769231,,,
271,83959,271,0.011661448151626659,1.0,1.0,,,
272,84248,272,0.02287514006647459,0.0,0.8571428571428571,,,
273,84553,273,0.012682805564413204,1.0,1.0,0.020656574493913116,0.0,0.9285714285714286
274,84738,274,0.02425883622687253,0.0,0.8571428571428571,,,
275,84955,275,0.022282545824884974,0.0,0.8571428571428571,,,
276,85164,276,0.027324061139594916,0.0,0.8888888888888888,,,
277,85429,277,0.026277065921951618,0.0,0.8888888888888888,,,
278,85574,278,0.022740083969144138,0.0,0.8888888888888888,,,
279,85935,279,0.017739108528667304,0.0,0.9285714285714286,,,
280,86168,280,0.02054981146237079,1.0,1.0,,,
281,86657,281,0.023122557820574017,0.0,0.8888888888888888,0.022078152280345095,0.0,0.9230769230769231
282,86906,282,0.01707317921730339,0.0,0.8571428571428571,,,
283,87115,283,0.01801309553125512,1.0,1.0,,,
284,87524,284,0.022109220039333063,0.0,0.9230769230769231,,,
285,88101,285,0.016361929098245635,0.0,0.9285714285714286,,,
286,88350,286,0.01853003403796071,0.0,0.8571428571428571,,,
287,88911,287,0.019538467344958916,0.0,0.8888888888888888,,,
288,89032,288,0.039958546838215925,0.0,0.9230769230769231,,,
289,89233,289,0.017613485193016254,0.0,0.8571428571428571,0.01652188199470986,1.0,1.0
290,89682,290,0.012760150062994313,1.0,1.0,,,
291,89803,291,0.02296556148464841,0.0,0.8571428571428571,,,
292,90036,292,0.016989154750512294,0.0,0.8571428571428571,,,
293,90525,293,0.021472902571929093,0.0,0.8888888888888888,,,
294,90798,294,0.014398628301920487,1.0,1.0,,,
295,91159,295,0.013849364214430606,1.0,1.0,,,
296,91392,296,0.01569405318356828,0.0,0.8888888888888888,,,
297,91801,297,0.02147546150117281,0.0,0.9285714285714286,0.04386407577638181,0.0,0.9285714285714286
298,92210,298,0.01902454047135362,0.0,0.9285714285714286,,,
299,92475,299,0.013449975948951315,1.0,1.0,,,
300,92676,300,0.016018367666873385,1.0,1.0,,,
301,93069,301,0.013874573694611357,1.0,1.0,,,
302,93598,302,0.019834710359696323,0.0,0.9473684210526315,,,
303,93871,303,0.015727462112703774,1.0,1.0,,,
304,94192,304,0.018189228580270805,0.0,0.8571428571428571,,,
305,94417,305,0.018389396964932175,0.0,0.9285714285714286,0.018977532388475018,0.0,0.9230769230769231
306,94618,306,0.023534859884925666,0.0,0.8888888888888888,,,
307,94915,307,0.01673713642643683,1.0,1.0,,,
308,95236,308,0.020244105841882146,0.0,0.8571428571428571,,,
309,95421,309,0.022473236183324023,0.0,0.8571428571428571,,,
310,95574,310,0.027969224798471675,0.0,0.8571428571428571,,,
311,95775,311,0.008490965134412182,1.0,1.0,,,
312,96040,312,0.016957720936092897,0.0,0.8571428571428571,,,
313,96345,313,0.01678641822779181,0.0,0.8571428571428571,0.016094427715283154,0.0,0.8888888888888888
314,96450,314,0.012750245007153774,1.0,1.0,,,
315,96755,315,0.013697494888835168,1.0,1.0,,,
316,97068,316,0.012848304705398661,1.0,1.0,,,
317,97341,317,0.015402628148281645,0.0,0.8888888888888888,,,
318,97630,318,0.015472502978360959,0.0,0.8888888888888888,,,
319,97831,319,0.013754135967594356,1.0,1.0,,,
320,98000,320,0.014951129584623274,1.0,1.0,,,
321,98769,321,0.022146000817203186,0.0,0.7777777777777778,0.01016870977371033,1.0,1.0
322,98994,322,0.04416803168812009,0.0,0.8461538461538461,,,
323,99315,323,0.032655874209256495,0.0,0.8461538461538461,,,
324,99452,324,0.0490907718445273,0.0,0.7777777777777778,,,
325,99685,325,0.017706392049179603,0.0,0.8888888888888888,,,
326,99838,326,0.014737772122887354,1.0,1.0,,,
327,100271,327,0.015278186003261782,0.0,0.9285714285714286,,,
328,100440,328,0.010115021435472856,1.0,1.0,,,
329,100929,329,0.01282701224322359,1.0,1.0,0.017914167658564663,0.0,0.9230769230769231
330,101106,330,0.017556511154447105,1.0,1.0,,,
331,101211,331,0.026534588217871437,0.0,0.8571428571428571,,,
332,101348,332,0.02686088169486896,0.0,0.8888888888888888,,,
333,101597,333,0.02680664398674466,0.0,0.9473684210526315,,,
334,101894,334,0.022676840380611425,0.0,0.8888888888888888,,,
335,102247,335,0.01857810825716564,0.0,0.8888888888888888,,,
336,102568,336,0.016847967299710744,0.0,0.8571428571428571,,,
337,102849,337,0.01107026342615109,1.0,1.0,0.02002106172818711,1.0,1.0
338,103058,338,0.011914661280494645,1.0,1.0,,,
339,103203,339,0.011061972625448613,1.0,1.0,,,
340,103420,340,0.030037460522785674,0.0,0.8888888888888888,,,
341,103565,341,0.025126177030773904,0.0,0.9473684210526315,,,
342,103830,342,0.01517386645722554,1.0,1.0,,,
343,104143,343,0.012342303877637725,1.0,1.0,,,
344,104760,344,0.019554888876635257,0.0,0.9230769230769231,,,
345,105025,345,0.011426954767886483,1.0,1.0,0.01898434866601339,0.0,0.9285714285714286
346,105282,346,0.014006294556100158,1.0,1.0,,,
