step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,1928,8,0.10718709234553941,0.0,0.3220338983050847,0.17852169243390517,0.0,0.34375
2,3216,16,0.20112433183571515,0.0,0.4125,,,
3,4248,24,0.29459619636451384,0.0,0.31958762886597936,,,
4,5408,32,0.1738002322085938,0.0,0.4583333333333333,,,
5,6376,40,0.2382075759926604,0.0,0.4642857142857143,,,
6,7920,48,0.09137983823283173,0.0,0.5254237288135594,,,
7,9336,56,0.0839989532266926,0.0,0.6206896551724138,,,
8,10432,64,0.14314656232671233,0.0,0.5595238095238095,,,
9,11464,72,0.10924292452064963,0.0,0.5753424657534246,0.12179400849327428,0.0,0.5679012345679012
10,13008,80,0.07479191519674984,0.0,0.6341463414634146,,,
11,14104,88,0.09816036202778913,0.0,0.6352941176470588,,,
12,15584,96,0.06318896154921042,0.0,0.7272727272727273,,,
13,17064,104,0.06388552300986207,0.125,0.654320987654321,,,
14,18288,112,0.06871090956842107,0.0,0.7289719626168224,,,
15,19832,120,0.03875641436921982,0.25,0.8556701030927835,,,
16,21568,128,0.03978836135527261,0.0,0.8137254901960784,,,
17,22728,136,0.04983646857831465,0.125,0.8309859154929577,0.036888141688975626,0.125,0.8591549295774648
18,23568,144,0.05092500271942109,0.375,0.8695652173913043,,,
19,24920,152,0.034038472986366475,0.125,0.891566265060241,,,
20,26208,160,0.03430502441455137,0.0,0.8032786885245902,,,
21,27624,168,0.02808495997594052,0.125,0.8225806451612904,,,
22,29104,176,0.02488051127438436,0.0,0.8658536585365854,,,
23,30392,184,0.026872015242966972,0.125,0.8765432098765432,,,
24,31744,192,0.027732737054372212,0.25,0.8656716417910447,,,
25,33032,200,0.03614154552138031,0.125,0.8194444444444444,0.03218143912375643,0.25,0.8833333333333333
26,33872,208,0.04191519224161689,0.125,0.8552631578947368,,,
27,35096,216,0.029001481893227623,0.125,0.8690476190476191,,,
28,35936,224,0.0371849233538275,0.25,0.8666666666666667,,,
29,37096,232,0.03135815385979151,0.25,0.819672131147541,,,
30,38128,240,0.031776364200850775,0.125,0.859375,,,
31,39224,248,0.03169161599889495,0.375,0.9,,,
32,40448,256,0.02606440783188847,0.25,0.8888888888888888,,,
33,41224,264,0.03305039298402264,0.0,0.8607594936708861,0.023145292200822065,0.375,0.9230769230769231
34,42704,272,0.025206937286017625,0.125,0.8181818181818182,,,
35,43480,280,0.03407226776758471,0.0,0.8611111111111112,,,
36,45344,288,0.018800315579467784,0.0,0.8625,,,
37,46184,296,0.0341140363801171,0.125,0.8837209302325582,,,
38,47024,304,0.03472662993199219,0.125,0.8641975308641975,,,
39,48504,312,0.021804648934891053,0.125,0.8461538461538461,,,
40,49792,320,0.024553321329578503,0.125,0.8850574712643678,,,
41,51080,328,0.01954566919700467,0.125,0.8658536585365854,0.016444362347399516,0.25,0.8888888888888888
42,51920,336,0.03632610252364794,0.125,0.8135593220338984,,,
43,52952,344,0.03231574446915679,0.125,0.8307692307692308,,,
44,53536,352,0.04146356571377546,0.125,0.8947368421052632,,,
45,54760,360,0.026939620550560633,0.0,0.8865979381443299,,,
46,55920,368,0.02770492423643255,0.375,0.9263157894736842,,,
47,57144,376,0.023156708287450044,0.0,0.8356164383561644,,,
48,58432,384,0.023757594844147703,0.25,0.8767123287671232,,,
49,59400,392,0.02865515600599934,0.25,0.9213483146067416,0.035339450978679354,0.125,0.8360655737704918
50,60624,400,0.029025864028610328,0.25,0.875,,,
51,61720,408,0.02248277017698756,0.375,0.9195402298850575,,,
52,62688,416,0.03437632036465209,0.125,0.8674698795180723,,,
53,63912,424,0.02623770960084142,0.0,0.8765432098765432,,,
54,65584,432,0.01899329962945022,0.125,0.8611111111111112,,,
55,66680,440,0.024746635820094797,0.125,0.8615384615384616,,,
56,68096,448,0.018233485265447796,0.25,0.8852459016393442,,,
57,69064,456,0.023802007292117768,0.0,0.8309859154929577,0.017820345851346387,0.25,0.8923076923076924
58,70096,464,0.023417056903105977,0.375,0.9285714285714286,,,
59,71320,472,0.02614166549589706,0.0,0.8461538461538461,,,
60,72800,480,0.023666942163380958,0.25,0.8695652173913043,,,
61,73896,488,0.025327924871596637,0.375,0.9166666666666666,,,
62,75056,496,0.026702700928280636,0.25,0.8571428571428571,,,
63,76984,504,0.017654640001804403,0.5,0.9324324324324325,,,
64,77952,512,0.031087414328353453,0.125,0.8524590163934426,,,
65,80712,520,0.012664883287956294,0.125,0.8253968253968254,0.030492371839873123,0.375,0.8767123287671232
66,81808,528,0.02336769391372459,0.25,0.918918918918919,,,
67,83288,536,0.018508872586422618,0.25,0.896551724137931,,,
68,84192,544,0.03353385587256101,0.0,0.8651685393258427,,,
69,85224,552,0.029050702169486915,0.25,0.8591549295774648,,,
70,87216,560,0.017223072795963017,0.25,0.8888888888888888,,,
71,89208,568,0.013449094750725829,0.125,0.8857142857142857,,,
72,90688,576,0.021549273148192723,0.125,0.8333333333333334,,,
73,91784,584,0.022098378434417226,0.625,0.9512195121951219,0.02136352698340259,0.125,0.9245283018867925
74,92816,592,0.024265589090494446,0.25,0.9111111111111111,,,
75,94744,600,0.015940668287483764,0.125,0.9042553191489362,,,
76,95904,608,0.02173130737904649,0.0,0.9038461538461539,,,
77,97384,616,0.01950062574528588,0.25,0.9146341463414634,,,
78,99248,624,0.017750408213168586,0.0,0.8765432098765432,,,
79,100728,632,0.020927545027470427,0.0,0.8552631578947368,,,
80,102208,640,0.02525984704348774,0.0,0.8032786885245902,,,
81,103560,648,0.020884858786513867,0.5,0.8928571428571429,0.030292961330808593,0.125,0.8513513513513513
82,104656,656,0.028756757276447747,0.125,0.8360655737704918,,,
83,106584,664,0.015516580283371606,0.0,0.828125,,,
84,108128,672,0.020906634854924125,0.125,0.875,,,
85,109800,680,0.022999460353465822,0.0,0.872093023255814,,,
86,111408,688,0.019247449485453844,0.25,0.9148936170212766,,,
87,112952,696,0.0179420014370293,0.125,0.847457627118644,,,
88,113664,704,0.03499172045796977,0.25,0.8620689655172413,,,
89,114696,712,0.025685593399690836,0.125,0.8571428571428571,0.0206422140009152,0.25,0.8977272727272727
90,116112,720,0.016173531164415004,0.5,0.9428571428571428,,,
91,117144,728,0.026401646637042947,0.125,0.8850574712643678,,,
92,118496,736,0.017453718551949732,0.125,0.8709677419354839,,,
93,119848,744,0.02303753959850314,0.375,0.9076923076923077,,,
94,120880,752,0.026941638676060004,0.125,0.8852459016393442,,,
95,122488,760,0.017690431050745227,0.125,0.8846153846153846,,,
96,123136,768,0.03184839095461177,0.0,0.8767123287671232,,,
97,124360,776,0.025056903614034946,0.0,0.8333333333333334,0.026663936923790228,0.0,0.8840579710144928
98,125584,784,0.024364885185661624,0.0,0.8441558441558441,,,
99,126680,792,0.021325889437321516,0.125,0.8837209302325582,,,
100,127648,800,0.024038058221493092,0.25,0.92,,,
101,128552,808,0.025546822025389736,0.25,0.9066666666666666,,,
102,129520,816,0.028394914732004648,0.125,0.8405797101449275,,,
103,130360,824,0.026444758168809774,0.375,0.927710843373494,,,
104,131712,832,0.020275747130854498,0.375,0.9156626506024096,,,
105,133128,840,0.02277708408864112,0.0,0.875,0.03324676328074812,0.0,0.7704918032786885
106,134352,848,0.023887547791110693,0.0,0.8421052631578947,,,
107,138776,856,0.00708245872674772,0.125,0.863013698630137,,,
108,140064,864,0.022306107230755844,0.25,0.8695652173913043,,,
109,141672,872,0.017951118018920215,0.25,0.918918918918919,,,
110,142768,880,0.022564289489239067,0.25,0.9142857142857143,,,
111,143672,888,0.028136869410632707,0.0,0.8070175438596491,,,
112,144768,896,0.02226554818707871,0.25,0.9012345679012346,,,
113,146120,904,0.021955411547527066,0.125,0.896551724137931,0.022835380459120487,0.25,0.8888888888888888
114,146960,912,0.02683971900506059,0.0,0.8382352941176471,,,
115,148760,920,0.01229416917696416,0.25,0.9,,,
116,149984,928,0.01780969373162103,0.25,0.8941176470588236,,,
117,151720,936,0.01625163761675546,0.375,0.9278350515463918,,,
118,152688,944,0.02662216360886709,0.25,0.8941176470588236,,,
119,153912,952,0.022582212001284744,0.375,0.90625,,,
120,154944,960,0.03220963378220603,0.125,0.8765432098765432,,,
121,156296,968,0.022004477913184203,0.25,0.8615384615384616,0.021021695418531085,0.25,0.8947368421052632
122,158480,976,0.01211544018653065,0.5,0.948051948051948,,,
123,159256,984,0.02636481911271243,0.25,0.8857142857142857,,,
124,160544,992,0.021765228958469995,0.125,0.8780487804878049,,,
125,162344,1000,0.01916327225074655,0.125,0.9036144578313253,,,
126,164272,1008,0.014904594626066813,0.5,0.927536231884058,,,
127,165304,1016,0.024775799768077242,0.25,0.8974358974358975,,,
128,166720,1024,0.0248957745137364,0.25,0.8472222222222222,,,
129,167624,1032,0.028706290491326496,0.125,0.75,0.020673260617018657,0.125,0.8732394366197183
130,169168,1040,0.01906642541880631,0.25,0.8767123287671232,,,
131,170008,1048,0.028110573805143518,0.25,0.9047619047619048,,,
132,171296,1056,0.021006839522656442,0.125,0.9320388349514563,,,
133,172392,1064,0.019658724828526444,0.5,0.9375,,,
134,174704,1072,0.012805650411169628,0.375,0.864406779661017,,,
135,176056,1080,0.023428309672451558,0.125,0.863013698630137,,,
136,177408,1088,0.021676540901161414,0.125,0.8666666666666667,,,
137,179592,1096,0.013081080540138268,0.125,0.8666666666666667,0.02489309282750025,0.375,0.9047619047619048
138,180368,1104,0.03140654969836604,0.25,0.8918918918918919,,,
139,181208,1112,0.034670024643185506,0.0,0.8658536585365854,,,
140,182112,1120,0.027432349276107066,0.125,0.8870967741935484,,,
141,183144,1128,0.025850364047292483,0.0,0.8804347826086957,,,
142,184112,1136,0.02446504707754184,0.125,0.8615384615384616,,,
143,185912,1144,0.017191996935516974,0.125,0.92,,,
144,186816,1152,0.027164218025704172,0.125,0.863013698630137,,,
145,188040,1160,0.022111219861710392,0.125,0.8953488372093024,0.026006198396513386,0.375,0.9117647058823529
146,188816,1168,0.028004805036432,0.375,0.8939393939393939,,,
147,189912,1176,0.02130618930492517,0.125,0.84375,,,
148,191200,1184,0.02130649475286723,0.125,0.8823529411764706,,,
149,193448,1192,0.011837662836363455,0.125,0.891566265060241,,,
150,194352,1200,0.027718475886722247,0.0,0.8765432098765432,,,
151,195960,1208,0.015030856449148451,0.25,0.8928571428571429,,,
152,199488,1216,0.00999138739398304,0.0,0.8767123287671232,,,
153,201032,1224,0.016402070318925148,0.25,0.9078947368421053,0.02409267572346147,0.125,0.8888888888888888
154,203728,1232,0.010944316107511847,0.125,0.8958333333333334,,,
155,205080,1240,0.01826006755789447,0.125,0.8850574712643678,,,
156,206688,1248,0.014506104087780596,0.5,0.9473684210526315,,,
157,207720,1256,0.02306370843293368,0.25,0.873015873015873,,,
158,209648,1264,0.011535639917019074,0.375,0.9,,,
159,210232,1272,0.03239927802624439,0.375,0.9117647058823529,,,
160,211520,1280,0.023334350230348452,0.125,0.8450704225352113,,,
161,212680,1288,0.020028402822363407,0.375,0.925531914893617,0.0214447786978484,0.25,0.8787878787878788
162,213840,1296,0.02594578039719479,0.125,0.8333333333333334,,,
163,215256,1304,0.0167677310062555,0.125,0.847457627118644,,,
164,216928,1312,0.01715588411118586,0.125,0.8837209302325582,,,
165,218216,1320,0.02142307465578865,0.25,0.9090909090909091,,,
166,219696,1328,0.017069498299856788,0.0,0.8493150684931506,,,
167,220792,1336,0.021647304573867234,0.125,0.8809523809523809,,,
168,221696,1344,0.024857389043383134,0.125,0.8461538461538461,,,
169,222536,1352,0.02394079792771736,0.25,0.8767123287671232,0.020496636000474532,0.375,0.8870967741935484
170,224208,1360,0.013897811770818152,0.0,0.8421052631578947,,,
171,225304,1368,0.021434947399727563,0.125,0.8795180722891566,,,
172,226592,1376,0.018370184286839526,0.0,0.8589743589743589,,,
173,227816,1384,0.019656725686088238,0.125,0.8977272727272727,,,
174,229040,1392,0.01919326991086451,0.375,0.8771929824561403,,,
175,229944,1400,0.02238242857032407,0.0,0.8831168831168831,,,
176,231040,1408,0.024120360061510682,0.0,0.8448275862068966,,,
177,232328,1416,0.023453119638633693,0.0,0.8854166666666666,0.027785631582567166,0.0,0.8450704225352113
178,233232,1424,0.029434049941238827,0.125,0.8571428571428571,,,
179,234648,1432,0.016866847115318846,0.25,0.8918918918918919,,,
180,235872,1440,0.023551326772147524,0.125,0.8846153846153846,,,
181,237736,1448,0.015165824522146548,0.125,0.8253968253968254,,,
182,238832,1456,0.021816096027042316,0.25,0.9186046511627907,,,
183,241656,1464,0.00884197329935115,0.5,0.9523809523809523,,,
184,242816,1472,0.01890054660011991,0.25,0.9175257731958762,,,
185,243656,1480,0.026508972790009563,0.125,0.8533333333333334,0.026909409358402286,0.125,0.8607594936708861
186,245136,1488,0.019664374356182224,0.25,0.8840579710144928,,,
187,246488,1496,0.019564781855703293,0.125,0.91,,,
188,247776,1504,0.018425051126836657,0.375,0.9146341463414634,,,
189,248808,1512,0.021869082358098663,0.25,0.8823529411764706,,,
190,249520,1520,0.028237727261327557,0.5,0.90625,,,
191,250744,1528,0.020532540433538454,0.25,0.8961038961038961,,,
192,251712,1536,0.02176846685524567,0.375,0.92,,,
193,253704,1544,0.011901630600887904,0.625,0.9298245614035088,0.03259016596624761,0.125,0.8548387096774194
194,254544,1552,0.020532075982003208,0.5,0.8928571428571429,,,
195,255896,1560,0.019245172722882873,0.0,0.796875,,,
196,257632,1568,0.01771051704411692,0.0,0.8762886597938144,,,
197,259112,1576,0.015216994658549402,0.25,0.8695652173913043,,,
198,260464,1584,0.019846325752001397,0.125,0.85,,,
199,261560,1592,0.02459083984650337,0.0,0.875,,,
200,262464,1600,0.021991455174085035,0.125,0.8135593220338984,,,
201,263752,1608,0.021072433924234895,0.125,0.8658536585365854,0.021854552359067855,0.0,0.8070175438596491
202,265424,1616,0.017386532582843117,0.25,0.8979591836734694,,,
203,266328,1624,0.027475642146208717,0.25,0.8983050847457628,,,
204,267616,1632,0.020679072224150948,0.25,0.875,,,
205,268712,1640,0.022509566877895827,0.25,0.9210526315789473,,,
206,269488,1648,0.029770100612045727,0.125,0.8780487804878049,,,
207,270584,1656,0.0224460879531996,0.0,0.8309859154929577,,,
208,272320,1664,0.017065181225176487,0.25,0.8571428571428571,,,
209,273416,1672,0.01989011952359853,0.125,0.9150943396226415,0.020824143152271823,0.0,0.8452380952380952
210,274640,1680,0.01685518149296758,0.5,0.9523809523809523,,,
211,275544,1688,0.020906901568162464,0.125,0.9024390243902439,,,
212,276640,1696,0.021710255951834775,0.125,0.9134615384615384,,,
213,277672,1704,0.023572479728175246,0.375,0.875,,,
214,279088,1712,0.021681966556975296,0.125,0.8513513513513513,,,
215,280312,1720,0.01917453074507128,0.0,0.9069767441860465,,,
216,281216,1728,0.027172014395856998,0.375,0.9016393442622951,,,
217,282440,1736,0.017006410245207187,0.375,0.9156626506024096,0.028327188407782457,0.125,0.8309859154929577
218,283600,1744,0.020375844095418174,0.5,0.9125,,,
219,284824,1752,0.021822419869466942,0.375,0.9156626506024096,,,
220,286048,1760,0.021370890238746425,0.125,0.8840579710144928,,,
221,287336,1768,0.01593075714846882,0.25,0.8823529411764706,,,
222,288752,1776,0.018530400236456038,0.125,0.8831168831168831,,,
223,290360,1784,0.016029288248028076,0.125,0.8837209302325582,,,
224,291008,1792,0.03501199537535661,0.25,0.881578947368421,,,
225,292680,1800,0.018784735183628727,0.0,0.8591549295774648,0.02071644160301713,0.375,0.8813559322033898
226,293840,1808,0.021624679230112975,0.25,0.8701298701298701,,,
227,295192,1816,0.016696659691399458,0.75,0.9538461538461539,,,
228,296224,1824,0.019613034911148134,0.125,0.8688524590163934,,,
229,299688,1832,0.00964187176428124,0.0,0.796875,,,
230,300528,1840,0.02440809138916507,0.375,0.9195402298850575,,,
231,301688,1848,0.02336926660852083,0.375,0.9130434782608695,,,
